Hour,Magnitude,#Events,Timestamp

9,2048,2048,Thu Mar  9 09:59:25 2017

10,2048,2048,Thu Mar  9 10:11:02 2017

10,2048,2048,Thu Mar  9 10:59:04 2017

11,2048,2048,Thu Mar  9 11:13:06 2017

